disease, disease_url, summary
A1C,https://medlineplus.gov/a1c.html,A1C is a blood test for type 2 diabetes and prediabetes. It measures your average blood glucose; or blood sugar; level over the past 3 months. Doctors may use the A1C alone or in combination with other diabetes tests to make a diagnosis. They also use the A1C to see how well you are managing your diabetes. This test is different from the blood sugar checks that people with diabetes do every day.
Aortic Aneurysm,https://medlineplus.gov/aorticaneurysm.html,An aneurysm is a bulge or "ballooning" in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body. If an aneurysm grows large; it can burst and cause dangerous bleeding or even death.
Aortic Aneurysm,https://medlineplus.gov/aorticaneurysm.html,An aneurysm is a bulge or "ballooning" in the wall of an artery. Arteries are blood vessels that carry oxygen-rich blood from the heart to other parts of the body. If an aneurysm grows large; it can burst and cause dangerous bleeding or even death.
Abdominal Pain,https://medlineplus.gov/abdominalpain.html,Your abdomen extends from below your chest to your groin. Some people call it the stomach; but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else; such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious.
Ectopic Pregnancy,https://medlineplus.gov/ectopicpregnancy.html,The uterus; or womb; is the place where a baby grows when a woman is pregnant. If you have an ectopic pregnancy; the fertilized egg grows in the wrong place; outside the uterus; usually in the fallopian tubes. The result is usually a miscarriage.
Birth Defects,https://medlineplus.gov/birthdefects.html,A birth defect is a problem that happens while a baby is developing in the mother's body.  Most birth defects happen during the first 3 months of pregnancy. One out of every 33 babies in the United States is born with a birth defect.
Blood,https://medlineplus.gov/blood.html,Your blood is made up of liquid and solids. The liquid part; called plasma; is made of water; salts; and protein. Over half of your blood is plasma. The solid part of your blood contains red blood cells; white blood cells; and platelets.
Abortion,https://medlineplus.gov/abortion.html,An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional.
Medicines,https://medlineplus.gov/medicines.html,You may need to take medicines every day; or only once in a while.  Either way; you want to make sure that the medicines are safe and will help you get better. In the United States; the Food and Drug Administration is in charge of assuring the safety and effectiveness of both prescription and over-the-counter medicines.
Over-the-Counter Medicines,https://medlineplus.gov/overthecountermedicines.html,Over-the-counter (OTC) medicines are drugs you can buy without a prescription. Some OTC medicines relieve aches; pains and itches. Some prevent or cure diseases; like tooth decay and athlete's foot. Others help manage recurring problems; like migraines.
Aspergillosis,https://medlineplus.gov/aspergillosis.html,Aspergillosis is a disease caused by a fungus (or mold) called Aspergillus.  The fungus is very common in both indoors and outdoors. Most people breathe in the spores of the fungus every day without being affected. But some people get the disease. It usually occurs in people with lung diseases or weakened immune systems.
Abscess,https://medlineplus.gov/abscess.html,An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected; your body's immune system tries to fight the infection. White blood cells go to the infected area; collect within the damaged tissue; and cause inflammation. During this process; pus forms. Pus is a mixture of living and dead white blood cells; germs; and dead tissue.
Child Abuse,https://medlineplus.gov/childabuse.html,Child abuse is doing something or failing to do something that results in harm to a child or puts a child at risk of harm. Child abuse can be physical; sexual or emotional. Neglect; or not providing for a child's needs; is also a form of abuse.
Domestic Violence,https://medlineplus.gov/domesticviolence.html,Domestic violence is a type of abuse. It usually involves a spouse or partner; but it can also be a child; elderly relative; or other family member.
Elder Abuse,https://medlineplus.gov/elderabuse.html,Many older people are victims of elder abuse. It is the mistreatment of an older person; usually by a caregiver. It can happen within the family.  It can also happen in assisted living facilities or nursing homes.
Safety,https://medlineplus.gov/safety.html,You can't remove all the safety hazards from your life; but you can reduce them. To avoid many major hazards and prepare for emergencies
